B,G,R
1.259699096679687500e+02,1.250848159790039062e+02,9.919398498535156250e+01
1.707650909423828125e+02,1.667345123291015625e+02,1.603863067626953125e+02
1.383070831298828125e+02,1.262767333984375000e+02,1.741322937011718750e+02
1.830466918945312500e+02,1.825338745117187500e+02,1.808627624511718750e+02
1.769962921142578125e+02,1.828622436523437500e+02,1.681355895996093750e+02
1.561979675292968750e+02,1.692280883789062500e+02,1.479747161865234375e+02
1.452562103271484375e+02,1.646831359863281250e+02,1.425978546142578125e+02
9.879035949707031250e+01,1.333323974609375000e+02,1.072551422119140625e+02
1.624998321533203125e+02,1.745694732666015625e+02,1.712159729003906250e+02
1.884378356933593750e+02,1.886177825927734375e+02,1.805478668212890625e+02
1.970465698242187500e+02,1.997450256347656250e+02,1.847396392822265625e+02
2.179337158203125000e+02,2.165427856445312500e+02,1.954151763916015625e+02
1.694918670654296875e+02,1.578527832031250000e+02,1.381727600097656250e+02
1.477233428955078125e+02,1.395582580566406250e+02,1.381683502197265625e+02
1.276540527343750000e+02,1.320134582519531250e+02,1.379282531738281250e+02
1.718343963623046875e+02,1.816571807861328125e+02,1.813358154296875000e+02
1.590117645263671875e+02,1.731943511962890625e+02,1.725592346191406250e+02
1.497438201904296875e+02,1.684793090820312500e+02,1.553254089355468750e+02
1.932435455322265625e+02,2.004563751220703125e+02,1.966754760742187500e+02
1.548240203857421875e+02,1.634905700683593750e+02,1.882089996337890625e+02
1.543274078369140625e+02,1.724089508056640625e+02,1.951662292480468750e+02
1.755073089599609375e+02,1.863293457031250000e+02,1.976205291748046875e+02
1.718566131591796875e+02,1.824480743408203125e+02,1.789645080566406250e+02
2.033896636962890625e+02,1.965392913818359375e+02,1.892455749511718750e+02
1.981952514648437500e+02,1.874446105957031250e+02,1.542259216308593750e+02
1.651002349853515625e+02,1.541900024414062500e+02,1.525585021972656250e+02
1.087881469726562500e+02,1.208488159179687500e+02,1.530230255126953125e+02
1.170787811279296875e+02,1.239336700439453125e+02,1.538147277832031250e+02
1.149305419921875000e+02,1.338129425048828125e+02,1.702575836181640625e+02
1.515802459716796875e+02,1.708153991699218750e+02,1.634677581787109375e+02
1.644735412597656250e+02,1.684918365478515625e+02,1.877363128662109375e+02
1.592934112548828125e+02,1.533368225097656250e+02,2.259137878417968750e+02
1.621920623779296875e+02,1.736257476806640625e+02,2.184071044921875000e+02
1.659981994628906250e+02,1.830432891845703125e+02,2.204638824462890625e+02
1.877262878417968750e+02,1.865969238281250000e+02,2.478168945312500000e+02
1.518992004394531250e+02,1.555698394775390625e+02,1.754811096191406250e+02
1.647781524658203125e+02,1.593066864013671875e+02,1.265525054931640625e+02
1.995319366455078125e+02,1.885701599121093750e+02,1.553328552246093750e+02
1.466381225585937500e+02,1.441024475097656250e+02,1.475754089355468750e+02
1.680250854492187500e+02,1.621107482910156250e+02,1.652864074707031250e+02
1.329817199707031250e+02,1.458535461425781250e+02,1.587199707031250000e+02
1.561797332763671875e+02,1.552781372070312500e+02,1.729519653320312500e+02
1.525099792480468750e+02,1.607348632812500000e+02,1.706598968505859375e+02
1.466706695556640625e+02,1.519920349121093750e+02,1.957953186035156250e+02
1.417792663574218750e+02,1.471187286376953125e+02,2.031456298828125000e+02
1.601525268554687500e+02,1.540426635742187500e+02,2.176139831542968750e+02
1.487554321289062500e+02,1.498689422607421875e+02,2.004590606689453125e+02
1.786812744140625000e+02,1.665028991699218750e+02,2.154831085205078125e+02
