B,G,R
1.703457183837890625e+02,1.950688018798828125e+02,1.746389160156250000e+02
2.549814300537109375e+02,1.841655273437500000e+02,0.000000000000000000e+00
1.509240264892578125e+02,1.935638885498046875e+02,1.460750427246093750e+02
2.368881072998046875e+02,1.575306243896484375e+02,0.000000000000000000e+00
1.532573089599609375e+02,1.942075500488281250e+02,1.474515380859375000e+02
1.540010223388671875e+02,1.841332702636718750e+02,1.556494140625000000e+02
1.602573089599609375e+02,1.961386260986328125e+02,1.515809020996093750e+02
1.563343353271484375e+02,1.847769927978515625e+02,1.570259094238281250e+02
1.041153717041015625e+02,1.563365173339843750e+02,1.389996643066406250e+02
1.516790008544921875e+02,1.899192657470703125e+02,1.636271972656250000e+02
1.796790008544921875e+02,1.976435394287109375e+02,1.801447753906250000e+02
1.593149261474609375e+02,2.077442474365234375e+02,1.770186157226562500e+02
1.499815826416015625e+02,2.051695404052734375e+02,1.715127258300781250e+02
1.599677581787109375e+02,2.042659149169921875e+02,1.703355102539062500e+02
1.519004974365234375e+02,2.012473449707031250e+02,1.487000732421875000e+02
1.822223968505859375e+02,2.031855316162109375e+02,1.572398681640625000e+02
1.516790008544921875e+02,1.899192657470703125e+02,1.636271972656250000e+02
1.563343353271484375e+02,1.847769927978515625e+02,1.570259094238281250e+02
1.719239959716796875e+02,1.993570709228515625e+02,1.584632263183593750e+02
1.503505706787109375e+02,1.840165557861328125e+02,1.582849121093750000e+02
1.048590240478515625e+02,1.462622222900390625e+02,1.471976013183593750e+02
1.633343048095703125e+02,1.867079925537109375e+02,1.611552734375000000e+02
1.750123443603515625e+02,1.963561553955078125e+02,1.773918457031250000e+02
1.583895111083984375e+02,1.999777069091796875e+02,1.865112304687500000e+02
1.499815826416015625e+02,2.051695404052734375e+02,1.715127258300781250e+02
1.483124847412109375e+02,2.074771881103515625e+02,1.728074340820312500e+02
1.703457183837890625e+02,1.950688018798828125e+02,1.746389160156250000e+02
1.652873382568359375e+02,2.020749664306640625e+02,1.664053344726562500e+02
1.404949188232421875e+02,1.718114166259765625e+02,1.771065673828125000e+02
1.365208282470703125e+02,1.605328826904296875e+02,1.704339294433593750e+02
1.737122344970703125e+02,1.775108795166015625e+02,1.654586791992187500e+02
1.565671234130859375e+02,2.025347137451171875e+02,1.514530029296875000e+02
1.236677093505859375e+02,1.757654418945312500e+02,1.377554016113281250e+02
1.690171966552734375e+02,1.891660614013671875e+02,1.692966003417968750e+02
1.406483001708984375e+02,2.025948028564453125e+02,1.660068969726562500e+02
1.440375213623046875e+02,1.978962860107421875e+02,1.755351562500000000e+02
1.504130401611328125e+02,1.903631744384765625e+02,1.797567749023437500e+02
1.529792022705078125e+02,2.087646026611328125e+02,1.755603637695312500e+02
1.343125457763671875e+02,2.036150970458984375e+02,1.645486755371093750e+02
1.476483001708984375e+02,2.045258331298828125e+02,1.701362915039062500e+02
1.434130401611328125e+02,1.884320831298828125e+02,1.756274108886718750e+02
1.277211151123046875e+02,1.429855499267578125e+02,1.974073486328125000e+02
1.296742095947265625e+02,1.893852233886718750e+02,1.552048645019531250e+02
1.380707550048828125e+02,1.777636718750000000e+02,1.608490600585937500e+02
1.449288482666015625e+02,1.863737335205078125e+02,1.379798278808593750e+02
