B,G,R
1.540731964111328125e+02,2.107106781005859375e+02,9.387312316894531250e+01
1.695684661865234375e+02,2.095979766845703125e+02,1.651800689697265625e+02
1.523663482666015625e+02,1.904672851562500000e+02,1.517617187500000000e+02
1.631780853271484375e+02,1.601224670410156250e+02,1.766588745117187500e+02
1.712485198974609375e+02,1.763251495361328125e+02,1.168313293457031250e+02
2.038014678955078125e+02,1.832273254394531250e+02,1.595386962890625000e+02
1.585036163330078125e+02,2.077818298339843750e+02,1.332035522460937500e+02
1.859735870361328125e+02,1.948575439453125000e+02,1.607248992919921875e+02
2.068712310791015625e+02,1.839538879394531250e+02,1.610716705322265625e+02
1.422116851806640625e+02,2.118446044921875000e+02,1.459683227539062500e+02
2.170060272216796875e+02,2.018131866455078125e+02,1.577352752685546875e+02
2.046627960205078125e+02,2.080026245117187500e+02,1.645077819824218750e+02
1.638306427001953125e+02,1.828776855468750000e+02,1.525144348144531250e+02
2.177075042724609375e+02,2.229866027832031250e+02,1.548048553466796875e+02
1.658439483642578125e+02,2.019774932861328125e+02,1.661674346923828125e+02
1.814167633056640625e+02,2.001165466308593750e+02,1.688274230957031250e+02
1.876694183349609375e+02,1.908920745849609375e+02,1.802029724121093750e+02
2.208415069580078125e+02,2.146174011230468750e+02,1.434333953857421875e+02
1.888191680908203125e+02,2.010778808593750000e+02,1.672627868652343750e+02
2.295734405517578125e+02,1.901298675537109375e+02,1.459578399658203125e+02
2.282950592041015625e+02,1.981355895996093750e+02,1.847068939208984375e+02
2.059746246337890625e+02,2.059290466308593750e+02,1.810912170410156250e+02
2.228103790283203125e+02,2.035763549804687500e+02,1.791206054687500000e+02
2.165577545166015625e+02,2.128008270263671875e+02,1.677450408935546875e+02
1.784602203369140625e+02,1.887124023437500000e+02,1.756040496826171875e+02
2.313647918701171875e+02,1.988621215820312500e+02,1.862398681640625000e+02
2.118899383544921875e+02,2.128760375976562500e+02,1.891620483398437500e+02
1.767643890380859375e+02,1.926778411865234375e+02,1.561259918212890625e+02
1.570653839111328125e+02,2.121855010986328125e+02,1.640530700683593750e+02
1.775768280029296875e+02,2.190350646972656250e+02,1.398810424804687500e+02
2.133770294189453125e+02,2.068904724121093750e+02,1.795265655517578125e+02
2.428069915771484375e+02,2.463705749511718750e+02,1.562386779785156250e+02
