B,G,R
1.873297576904296875e+02,2.017703857421875000e+02,1.703183593750000000e+02
1.818218841552734375e+02,2.003787841796875000e+02,1.674976654052734375e+02
1.707612457275390625e+02,2.094872741699218750e+02,1.633178405761718750e+02
1.860988922119140625e+02,1.853570861816406250e+02,1.559813690185546875e+02
1.688900299072265625e+02,1.898177490234375000e+02,1.589903717041015625e+02
1.652982635498046875e+02,1.962037048339843750e+02,1.590354766845703125e+02
1.805910491943359375e+02,1.839654235839843750e+02,1.531606597900390625e+02
2.086381072998046875e+02,1.856846923828125000e+02,1.629553985595703125e+02
1.661360931396484375e+02,1.891219177246093750e+02,1.575799865722656250e+02
1.033431549072265625e+02,1.539956054687500000e+02,1.522654571533203125e+02
1.721068267822265625e+02,1.971663513183593750e+02,1.575535125732421875e+02
1.873297576904296875e+02,2.017703857421875000e+02,1.703183593750000000e+02
1.782500457763671875e+02,1.998232727050781250e+02,1.832590789794921875e+02
1.615289459228515625e+02,2.059861755371093750e+02,1.662428588867187500e+02
1.590602569580078125e+02,2.153396606445312500e+02,1.691475524902343750e+02
1.818218841552734375e+02,2.003787841796875000e+02,1.674976654052734375e+02
1.790679473876953125e+02,1.996828918457031250e+02,1.660872802734375000e+02
1.591949310302734375e+02,1.796639099121093750e+02,1.647625885009765625e+02
1.483766632080078125e+02,1.665426025390625000e+02,1.676751708984375000e+02
1.753684844970703125e+02,1.926230163574218750e+02,1.546549987792968750e+02
1.891630401611328125e+02,1.911517639160156250e+02,1.445288085937500000e+02
1.417257232666015625e+02,1.691248474121093750e+02,1.462784881591796875e+02
1.652982635498046875e+02,1.962037048339843750e+02,1.590354766845703125e+02
1.336793365478515625e+02,1.939289245605468750e+02,1.650021362304687500e+02
1.789352874755859375e+02,1.911875610351562500e+02,1.717879180908203125e+02
1.615937347412109375e+02,1.871528320312500000e+02,1.804975128173828125e+02
1.560210418701171875e+02,2.045945129394531250e+02,1.634221038818359375e+02
1.477592620849609375e+02,2.025069885253906250e+02,1.591910400390625000e+02
1.652982635498046875e+02,1.962037048339843750e+02,1.590354766845703125e+02
1.651656036376953125e+02,1.877083129882812500e+02,1.647360992431640625e+02
1.266703338623046875e+02,1.571423034667968750e+02,1.921400451660156250e+02
1.447649383544921875e+02,1.798699645996093750e+02,1.520039215087890625e+02
1.562684173583984375e+02,1.843555908203125000e+02,1.376201629638671875e+02
1.528741607666015625e+02,1.804035644531250000e+02,1.462193298339843750e+02
