B,G,R
1.093188323974609375e+02,1.640309753417968750e+02,1.193446044921875000e+02
1.060970916748046875e+02,1.546914367675781250e+02,1.536758270263671875e+02
1.401148529052734375e+02,1.644550781250000000e+02,1.634440917968750000e+02
1.401148529052734375e+02,1.644550781250000000e+02,1.634440917968750000e+02
1.143588867187500000e+02,1.567789306640625000e+02,1.579069061279296875e+02
1.064721374511718750e+02,1.409569091796875000e+02,1.550675811767578125e+02
8.957345581054687500e+01,1.505163879394531250e+02,1.452136383056640625e+02
7.600126647949218750e+01,1.366992187500000000e+02,1.467158660888671875e+02
7.551353454589843750e+01,1.349969177246093750e+02,1.667411041259765625e+02
8.170664978027343750e+01,1.277529220581054688e+02,1.580906372070312500e+02
1.390595855712890625e+02,1.888162536621093750e+02,1.406291503906250000e+02
1.510029449462890625e+02,1.607340698242187500e+02,1.418918304443359375e+02
1.390595855712890625e+02,1.888162536621093750e+02,1.406291503906250000e+02
1.569038238525390625e+02,1.856208190917968750e+02,1.605050048828125000e+02
1.596577301025390625e+02,1.863166503906250000e+02,1.619153594970703125e+02
1.426713104248046875e+02,1.754888916015625000e+02,1.563003997802734375e+02
1.095542144775390625e+02,1.839811706542968750e+02,1.580157012939453125e+02
1.390595855712890625e+02,1.888162536621093750e+02,1.406291503906250000e+02
9.054397583007812500e+01,1.519299621582031250e+02,1.380575256347656250e+02
7.685707092285156250e+01,1.668470458984375000e+02,1.596611022949218750e+02
1.233937530517578125e+02,1.706179809570312500e+02,1.464278411865234375e+02
1.005892181396484375e+02,1.532997436523437500e+02,1.508550872802734375e+02
1.098215484619140625e+02,1.568008728027343750e+02,1.479300842285156250e+02
1.454950714111328125e+02,1.593423461914062500e+02,1.390710906982421875e+02
1.500753021240234375e+02,1.915996398925781250e+02,1.462705993652343750e+02
1.638449859619140625e+02,1.950787963867187500e+02,1.533224029541015625e+02
1.625443267822265625e+02,1.955078125000000000e+02,1.576250915527343750e+02
1.509331207275390625e+02,1.775763854980468750e+02,1.605315093994140625e+02
1.513959197998046875e+02,1.842291564941406250e+02,1.576842956542968750e+02
1.259252471923828125e+02,1.866022644042968750e+02,1.564621734619140625e+02
1.267431488037109375e+02,1.864619445800781250e+02,1.392903442382812500e+02
1.486419830322265625e+02,1.835333251953125000e+02,1.562739257812500000e+02
1.458880462646484375e+02,1.828374633789062500e+02,1.548635406494140625e+02
1.405776519775390625e+02,1.711078186035156250e+02,1.605968780517578125e+02
1.227334442138671875e+02,1.743032226562500000e+02,1.407210235595703125e+02
1.289714508056640625e+02,1.551673278808593750e+02,1.306089019775390625e+02
1.555832061767578125e+02,1.929913024902343750e+02,1.490913391113281250e+02
1.763140106201171875e+02,1.989870605468750000e+02,1.646769104003906250e+02
1.735601043701171875e+02,1.982912597656250000e+02,1.632665405273437500e+02
1.735601043701171875e+02,1.982912597656250000e+02,1.632665405273437500e+02
1.583371124267578125e+02,1.936871337890625000e+02,1.505016937255859375e+02
1.445674285888671875e+02,1.902079162597656250e+02,1.434498748779296875e+02
1.513959197998046875e+02,1.842291564941406250e+02,1.576842956542968750e+02
1.667964019775390625e+02,1.854366760253906250e+02,1.632868347167968750e+02
1.564409942626953125e+02,1.789681091308593750e+02,1.633522186279296875e+02
1.367405242919921875e+02,1.535616149902343750e+02,1.877595825195312500e+02
1.316555633544921875e+02,1.727055053710937500e+02,1.506589355468750000e+02
1.157742767333984375e+02,1.276156234741210938e+02,1.335028991699218750e+02
1.693528594970703125e+02,1.964705200195312500e+02,1.561431579589843750e+02
1.869996185302734375e+02,2.036130065917968750e+02,1.674649658203125000e+02
1.845758514404296875e+02,2.010745849609375000e+02,1.689080200195312500e+02
1.845758514404296875e+02,2.010745849609375000e+02,1.689080200195312500e+02
1.803686065673828125e+02,1.992538757324218750e+02,1.617845916748046875e+02
1.693528594970703125e+02,1.964705200195312500e+02,1.561431579589843750e+02
1.597903900146484375e+02,1.948120117187500000e+02,1.562147216796875000e+02
1.778371124267578125e+02,1.832695922851562500e+02,1.517503051757812500e+02
1.893605194091796875e+02,1.808137512207031250e+02,1.530828704833984375e+02
1.893605194091796875e+02,1.808137512207031250e+02,1.530828704833984375e+02
1.633821868896484375e+02,1.884260559082031250e+02,1.561696166992187500e+02
9.721986389160156250e+01,1.443972167968750000e+02,1.422762298583984375e+02
1.781223907470703125e+02,1.933188781738281250e+02,1.560653686523437500e+02
1.873297576904296875e+02,2.017703857421875000e+02,1.703183593750000000e+02
