B,G,R
2.197922780513763428e+02,2.212146415710449219e+02,1.893270472288131714e+02
2.321846692562103271e+02,2.241365056037902832e+02,1.954260730743408203e+02
1.424726796150207520e+02,2.013710608482360840e+02,1.724649124145507812e+02
2.137927408218383789e+02,1.944813077449798584e+02,1.765722163319587708e+02
2.075965452194213867e+02,1.930203757286071777e+02,1.735227034091949463e+02
1.745151660442352295e+02,2.006694303750991821e+02,1.488437297046184540e+02
2.144848890304565430e+02,2.013775073289871216e+02,1.740655407607555389e+02
1.920768001079559326e+02,2.091456406116485596e+02,1.705691407322883606e+02
2.044691913127899170e+02,2.120675046443939209e+02,1.766681665778160095e+02
1.975808475017547607e+02,2.037103730440139771e+02,1.761253292262554169e+02
2.191001298427581787e+02,2.143184419870376587e+02,1.918337228000164032e+02
2.261558759212493896e+02,2.171807667016983032e+02,1.873414618074893951e+02
2.199596803188323975e+02,2.157198346853256226e+02,1.842919488847255707e+02
2.407868144512176514e+02,2.194317040443420410e+02,2.025070180296897888e+02
1.977257106304168701e+02,1.693401390314102173e+02,1.534565130770206451e+02
1.924063050746917725e+02,1.822913082838058472e+02,1.821205994784832001e+02
1.528178822994232178e+02,1.638267312049865723e+02,1.814137453436851501e+02
1.566134278774261475e+02,1.873181153535842896e+02,1.588101707994937897e+02
2.075965452194213867e+02,1.930203757286071777e+02,1.735227034091949463e+02
1.766155672073364258e+02,1.857157156467437744e+02,1.582751387953758240e+02
1.758941628932952881e+02,1.985971109867095947e+02,1.654520339965820312e+02
2.144848890304565430e+02,2.013775073289871216e+02,1.740655407607555389e+02
2.130713365077972412e+02,2.073627030849456787e+02,1.837491115331649780e+02
2.192675321102142334e+02,2.088236351013183594e+02,1.867986244559288025e+02
2.230577781200408936e+02,2.164503006935119629e+02,1.858167053461074829e+02
2.409542167186737061e+02,2.139368971586227417e+02,1.974719196856021881e+02
1.674886760711669922e+02,1.780295107364654541e+02,1.486657710671424866e+02
1.736848716735839844e+02,1.794904427528381348e+02,1.517152839899063110e+02
1.456053330898284912e+02,1.981886504888534546e+02,1.476977938115596771e+02
2.325487298965454102e+02,1.933692969083786011e+02,1.806856567561626434e+02
1.766155672073364258e+02,1.857157156467437744e+02,1.582751387953758240e+02
1.766155672073364258e+02,1.857157156467437744e+02,1.582751387953758240e+02
1.447457826137542725e+02,1.967872577905654907e+02,1.552395677268505096e+02
1.759752142429351807e+02,1.879173482656478882e+02,1.737453125417232513e+02
1.721039168834686279e+02,1.909704453945159912e+02,1.664339531064033508e+02
1.975808475017547607e+02,2.037103730440139771e+02,1.761253292262554169e+02
2.113867912292480469e+02,2.006470413208007812e+02,1.725407842993736267e+02
2.392696714401245117e+02,2.072212353944778442e+02,1.862635924518108368e+02
1.737659230232238770e+02,1.688106800317764282e+02,1.600085625350475311e+02
1.661336357593536377e+02,1.444595166444778442e+02,1.490089025795459747e+02
1.658280873298645020e+02,1.356715354919433594e+02,1.544088796377182007e+02
2.038873505592346191e+02,1.747139474153518677e+02,1.827979010641574860e+02
1.646097757816314697e+02,1.809020700454711914e+02,1.550694144368171692e+02
1.828117628097534180e+02,1.871766476631164551e+02,1.613246517181396484e+02
1.859909119606018066e+02,1.772273509502410889e+02,1.711426867246627808e+02
1.156407086849212646e+02,1.550611391067504883e+02,1.631166678071022034e+02
1.256271502971649170e+02,1.641487367153167725e+02,1.651842616200447083e+02
1.319096968173980713e+02,1.707946245670318604e+02,1.549053976535797119e+02
1.594870285987854004e+02,1.685808374881744385e+02,1.740281828641891479e+02
1.983022518157958984e+02,1.908289777040481567e+02,1.689484340250492096e+02
1.736848716735839844e+02,1.794904427528381348e+02,1.517152839899063110e+02
1.552291314601898193e+02,1.735257161855697632e+02,1.638235219419002533e+02
1.607518358230590820e+02,1.165834165811538696e+02,2.079528016746044159e+02
1.099174637794494629e+02,1.568933813571929932e+02,1.496320794820785522e+02
1.537359449863433838e+02,1.256729340553283691e+02,1.645315321683883667e+02
1.072299222946166992e+02,1.186288203001022339e+02,1.679520603120326996e+02
1.029427690505981445e+02,1.433512939214706421e+02,1.624176190197467804e+02
1.059545159339904785e+02,1.388968040943145752e+02,1.772707523703575134e+02
7.397054171562194824e+01,1.000432447195053101e+02,1.915514958202838898e+02
8.871708726882934570e+01,8.770154297351837158e+01,1.887184555232524872e+02
7.668203973770141602e+01,1.026654922962188721e+02,1.901829507946968079e+02
9.897982120513916016e+01,1.253547166585922241e+02,1.900562919080257416e+02
