B,G,R
1.341070480346679688e+02,1.927553027868270874e+02,1.077651189863681793e+02
1.758078119754791260e+02,1.934121551513671875e+02,1.787804108858108521e+02
1.643042273521423340e+02,1.721140888929367065e+02,1.604693914949893951e+02
1.380195415019989014e+02,1.670706007480621338e+02,1.712832874655723572e+02
1.836487741470336914e+02,1.597026132345199585e+02,1.361491599977016449e+02
1.986370563507080078e+02,1.798393639326095581e+02,1.588782373368740082e+02
1.837284080982208252e+02,2.135405911207199097e+02,1.451247205436229706e+02
1.931383085250854492e+02,2.011393500566482544e+02,1.317003934085369110e+02
2.044466521739959717e+02,1.831920775175094604e+02,1.590344487726688385e+02
1.776132638454437256e+02,2.013998963832855225e+02,1.503684861660003662e+02
1.876050050258636475e+02,2.263522125482559204e+02,1.308144245445728302e+02
2.051905956268310547e+02,1.991861093044281006e+02,1.694912713766098022e+02
1.146761503219604492e+02,1.999818226099014282e+02,1.454137273728847504e+02
2.210729839801788330e+02,2.168113763332366943e+02,1.583866997361183167e+02
1.664324672222137451e+02,2.019005198478698730e+02,1.659128629565238953e+02
1.821714098453521729e+02,1.893782802820205688e+02,1.767948254644870758e+02
1.937906014919281006e+02,1.960837074518203735e+02,1.771072483360767365e+02
1.851180040836334229e+02,2.431977088451385498e+02,1.184897139668464661e+02
1.958152508735656738e+02,2.076744740009307861e+02,1.566237234473228455e+02
2.053579978942871094e+02,1.936913024187088013e+02,1.644561730325222015e+02
2.209002821445465088e+02,2.064414646625518799e+02,1.850434535145759583e+02
2.039962406158447266e+02,2.087743303775787354e+02,1.871032419800758362e+02
2.013710935115814209e+02,2.113370386362075806e+02,1.751434101164340973e+02
1.981055934429168701e+02,2.161013795137405396e+02,1.786537519991397858e+02
1.538673741817474365e+02,1.886087441444396973e+02,1.864705908894538879e+02
2.037770431041717529e+02,2.051713050603866577e+02,1.791748421490192413e+02
1.988269977569580078e+02,2.032199841737747192e+02,1.714768567979335785e+02
1.866020088195800781e+02,1.948033132553100586e+02,1.603427326083183289e+02
1.796844089031219482e+02,2.062237765789031982e+02,1.644701148867607117e+02
1.502311730384826660e+02,2.428590222597122192e+02,1.222226649820804596e+02
1.750399119853973389e+02,2.130604368448257446e+02,1.513721524775028229e+02
2.550000000000000000e+02,2.152582813501358032e+02,1.575470502078533173e+02
2.283944232463836670e+02,2.165098400115966797e+02,1.964079921841621399e+02
2.221982276439666748e+02,2.150489079952239990e+02,1.933584792613983154e+02
